Participant ID,Time,Max Angle,Min Angle,Requested Angle,End Angle,Time Taken
1450,450698470.9,86.0321,0,61,57.8597,1.683320999
1450,450698475.2,86.0321,0,22,22.3646,0.836185992
1450,450698480.1,86.0321,0,50,30.8674,1.671074986
1450,450698485.6,86.0321,0,36,34.7345,2.130757987
1450,450698494.1,86.0321,0,40,30.5943,1.885375023
1450,450698500.6,86.0321,0,67,46.1141,1.760534942
1450,450698505.5,86.0321,0,6,6.03798,1.577416003
1450,450698512,86.0321,0,55,45.4295,2.553923011
1450,450698518.8,86.0321,0,42,38.1968,1.897418022
1450,450698523,86.0321,0,32,30.6058,1.438426018
7500,450697828.4,43.3789,0,18,15.7456,1.707154036
7500,450697834.5,43.3789,0,15,15.6387,2.817607999
7500,450697839.7,43.3789,0,21,12.8565,1.976139009
7500,450697850.5,43.3789,0,1,4.03817,4.092683971
7500,450697855,43.3789,0,31,29.114,2.307308018
7500,450697861.2,43.3789,0,33,31.7986,2.948701978
7500,450697864.7,43.3789,0,1,-0.819591,1.126735985
7500,450697872.1,43.3789,0,32,32.9083,3.328943014
7500,450697879.3,43.3789,0,41,33.5737,3.881090045
7500,450697884.4,43.3789,0,0,4.5678,0.468560994
