Participant ID,Time,Requested Force,Tap Force
8645,450568449.9,Soft,0.0613899
8645,450568453.6,Medium,0.0516053
8645,450568456.2,Hard,0.130221
8645,450568459.5,Medium,0.0943377
8645,450568467.9,Medium,0.137239
8645,450568471.6,Soft,0.08197
8645,450568474.5,Soft,0.0956883
8645,450568477.5,Soft,0.102336
8645,450568480.7,Soft,0.0545549
8645,450568483.2,Hard,0.375709
8645,450568485.3,Hard,0.300544
8645,450568487.7,Soft,0.158301
8645,450568490.3,Hard,0.781306
8645,450568493,Soft,0.105425
8645,450568495.2,Soft,0.0575238
8645,450568497.3,Hard,0.425818
8645,450568499.4,Soft,0.0845709
8645,450568501.9,Soft,0.0641508
8645,450568504,Hard,0.384116
8645,450568506.2,Medium,0.114522
8645,450568508.5,Hard,0.299848
8645,450568510.8,Medium,0.174028
8645,450568513.1,Hard,0.44409
8645,450568515.3,Hard,0.173964
8645,450568517.3,Hard,0.40449
8645,450568519.5,Medium,0.0931856
8645,450568521.2,Medium,0.0739449
8645,450568523.3,Medium,0.209927
8645,450568525.1,Medium,0.222912
8645,450568527.1,Medium,0.159074
5166,450613154.2,Soft,0.150781
5166,450613159.3,Medium,0.310062
5166,450613161.6,Hard,0.834991
5166,450613164.2,Medium,0.360901
5166,450613166.4,Medium,0.203558
5166,450613168.5,Hard,0.63543
5166,450613170.4,Hard,1.0436
5166,450613172.3,Soft,0.11489
5166,450613174.1,Soft,0.0450424
5166,450613176,Hard,0.533919
5166,450613180.3,Soft,0.0270037
5166,450613182.5,Soft,0.055323
5166,450613184.6,Medium,0.262281
5166,450613186.6,Soft,0.0253327
5166,450613188.6,Hard,0.657015
5166,450613191.4,Soft,0.0292119
5166,450613193.6,Medium,0.129835
5166,450613197.6,Hard,0.594249
5166,450613199.6,Hard,0.585777
5166,450613201.7,Medium,0.045578
5166,450613205.1,Soft,0.0573634
5166,450613208,Medium,0.207597
5166,450613210.1,Soft,0.0592583
5166,450613212.2,Soft,0.0263763
5166,450613214.3,Hard,0.205935
